DEPT OF ENVIRONMENT PROTECTION,External,MECHANICAL ENGINEERING INTERN,MECHANICAL ENGINEERING INTERN,00,Above 50K,Central Brookly City Operation
DEPT OF HEALTH/MENTAL HYGIENE,External,"Data Manager â€“ Childrenâ€™s Single Point of Access (CSPOA), Bureau of Children, Youth, and Families",CITY RESEARCH SCIENTIST,02,Above 50K,"Children, Youth, & Families"
OFFICE OF THE COMPTROLLER,Internal,CONTRACT ANALYST - CONTRACTOR  AND PROCUREMENT REVIEW,ADMINISTRATIVE PROCUREMENT ANA,00,Above 50K,Contract Administration
OFFICE OF THE COMPTROLLER,Internal,CONTRACT ANALYST - CONTRACTOR  AND PROCUREMENT REVIEW,ADMINISTRATIVE PROCUREMENT ANA,00,Above 50K,Contract Administration
OFFICE OF THE COMPTROLLER,External,CONTRACT ANALYST - CONTRACTOR  AND PROCUREMENT REVIEW,ADMINISTRATIVE PROCUREMENT ANA,00,Above 50K,Contract Administration
HRA/DEPT OF SOCIAL SERVICES,External,DIRECTOR OF TECHNOLOGY DEVELOPMENT,COMPUTER SYSTEMS MANAGER,M2,Above 50K,HHS Connect-NM
DEPARTMENT OF TRANSPORTATION,External,Assistant General Counsel,AGENCY ATTORNEY,02,Above 50K,IT & Telecom
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Data Manager â€“ Childrenâ€™s Single Point of Access (CSPOA), Bureau of Children, Youth, and Families",CITY RESEARCH SCIENTIST,02,Above 50K,"Children, Youth, & Families"
DEPT OF ENVIRONMENT PROTECTION,External,Watershed Maintainer,WATERSHED MAINTAINER,00,Below 50K,Stn (6) Ctrl Opr Ctr - Plt O
DEPT OF ENVIRONMENT PROTECTION,Internal,Watershed Maintainer,WATERSHED MAINTAINER,00,Below 50K,Stn (6) Ctrl Opr Ctr - Plt O
DEPT OF HEALTH/MENTAL HYGIENE,External,"Citywide Assistance Team Coordinator, Bureau of Mental Health",SPECIAL CONSULTANT (MENTAL HEA,02,Above 50K,MH - Assisted out Treatment
DEPARTMENT OF CORRECTION,External,Technical Project Manager,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Information Systems-Admin
DEPARTMENT OF CORRECTION,Internal,Technical Project Manager,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Information Systems-Admin
DEPARTMENT OF CORRECTION,External,Senior Java Developer,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Information Systems-Admin
DEPT OF INFO TECH & TELECOMM,Internal,Network Team Lead,COMPUTER SPECIALIST (OPERATION,00,Above 50K,IT Svcs Delivery
DEPARTMENT OF SANITATION,External,Business Analyst,CERT IT DEVELOPER (APP),04,Above 50K,Mgt Info Syst Office
DEPARTMENT OF CORRECTION,Internal,Senior Java Developer,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Information Systems-Admin
DEPARTMENT OF CORRECTION,External,Senior SharePoint Developer,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Information Systems-Admin
DEPARTMENT OF CORRECTION,Internal,Senior SharePoint Developer,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Information Systems-Admin
DEPT OF ENVIRONMENT PROTECTION,Internal,ePMIS Solutions Manager,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Water Quality Unit
DEPT OF ENVIRONMENT PROTECTION,External,ePMIS Solutions Manager,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Water Quality Unit
DEPT OF ENVIRONMENT PROTECTION,External,PROGRAM MANAGEMENT OFFICE TECHNICAL ASSISTANT,COMPUTER ASSOC (TECH SUPP),01,Below 50K,Water Quality Unit
DEPT OF ENVIRONMENT PROTECTION,Internal,PROGRAM MANAGEMENT OFFICE TECHNICAL ASSISTANT,COMPUTER ASSOC (TECH SUPP),01,Below 50K,Water Quality Unit
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Computer Specialist, Bureau of Immunization",COMPUTER SPECIALIST (SOFTWARE),02,Above 50K,Immunization Registry
DEPARTMENT OF CORRECTION,Internal,Senior BI Developer,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Information Systems-Admin
DEPARTMENT OF CORRECTION,External,Senior BI Developer,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Information Systems-Admin
DEPARTMENT OF CORRECTION,Internal,Senior Database Administrator,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Information Systems-Admin
DEPARTMENT OF TRANSPORTATION,Internal,Deputy Commissioner for Traffic Operations,ADMINISTRATIVE TRANSPORTATION,M6,Above 50K,Tf. Eng./Elect Shop
DEPT OF HEALTH/MENTAL HYGIENE,External,"Claiming Analyst, Budget and Revenue",ACCOUNTANT,01,Below 50K,Fed-St-Other Cat Claims & Revs
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"HR Project Manager, Bureau of Human Resources and Labor Relations",ADMIN COMMUNITY RELATIONS SPEC,00,Above 50K,HR Central
DEPT OF HEALTH/MENTAL HYGIENE,External,"HR Project Manager, Bureau of Human Resources and Labor Relations",ADMIN COMMUNITY RELATIONS SPEC,00,Above 50K,HR Central
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Medicolegal Investigator I,MEDICOLEGAL INVESTIGATOR (OCME,01,Above 50K,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,External,Medicolegal Investigator I,MEDICOLEGAL INVESTIGATOR (OCME,01,Above 50K,OCME-Operations
DEPARTMENT OF CORRECTION,External,Senior Database Administrator,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Information Systems-Admin
DEPARTMENT OF CORRECTION,Internal,Junior Java Developer,COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,Information Systems-Admin
DEPARTMENT OF CORRECTION,External,Junior Java Developer,COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,Information Systems-Admin
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Public Health Epidemiologist, Bureau of Tuberculosis Control",PUBLIC HEALTH EPIDEMIOLOGIST,01,Below 50K,TB Surveillance & Epidemiology
DEPT OF INFO TECH & TELECOMM,Internal,Master Control Operator,RADIO AND TELEVISION OPERATOR,02,Below 50K,MOME
DEPT OF INFO TECH & TELECOMM,External,Master Control Operator,RADIO AND TELEVISION OPERATOR,02,Below 50K,MOME
DEPT OF INFO TECH & TELECOMM,External,MOME Digital and Social Media Associate,COMMUNITY COORDINATOR,00,Below 50K,MOME
DEPT OF INFO TECH & TELECOMM,Internal,MOME Digital and Social Media Associate,COMMUNITY COORDINATOR,00,Below 50K,MOME
DEPT OF HEALTH/MENTAL HYGIENE,External,"Public Health Epidemiologist, Bureau of Tuberculosis Control",PUBLIC HEALTH EPIDEMIOLOGIST,01,Below 50K,TB Surveillance & Epidemiology
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Claiming Analyst, Budget and Revenue",ACCOUNTANT,01,Below 50K,Fed-St-Other Cat Claims & Revs
DEPARTMENT OF TRANSPORTATION,External,Project Cost Estimator,ESTIMATOR (GENERAL CONSTRUCTIO,00,Above 50K,Financial Management &Analysis
DEPT OF INFO TECH & TELECOMM,External,Broadcast Camera/Lighting Operator,RADIO AND TELEVISION OPERATOR,03,Below 50K,MOME
DEPT OF INFO TECH & TELECOMM,Internal,Broadcast Camera/Lighting Operator,RADIO AND TELEVISION OPERATOR,03,Below 50K,MOME
DEPT OF ENVIRONMENT PROTECTION,Internal,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Heavy Construction/Administrat
DEPT OF ENVIRONMENT PROTECTION,External,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Heavy Construction/Administrat
DEPARTMENT OF TRANSPORTATION,Internal,Project Cost Estimator,ESTIMATOR (GENERAL CONSTRUCTIO,00,Above 50K,Financial Management &Analysis
DEPT OF HEALTH/MENTAL HYGIENE,External,"PECO Deputy Program Manager,  Bureau of Agency Preparedness and Response",ADMIN COMMUNITY RELATIONS SPEC,00,Above 50K,Agency Preparedness & Response
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"PECO Deputy Program Manager,  Bureau of Agency Preparedness and Response",ADMIN COMMUNITY RELATIONS SPEC,00,Above 50K,Agency Preparedness & Response
DEPARTMENT OF SANITATION,External,Senior Net Developer,CERT IT DEVELOPER (APP),04,Above 50K,Mgt Info Syst Office
DEPT OF ENVIRONMENT PROTECTION,Internal,Custodian (Part-Time),CUSTODIAN,01,Below 50K,Rondout Neversink Sec Del Up
DEPT OF ENVIRONMENT PROTECTION,External,Custodian (Part-Time),CUSTODIAN,01,Below 50K,Rondout Neversink Sec Del Up
DEPT OF ENVIRONMENT PROTECTION,External,Instrumentation Specialist,INSTRUMENTATION SPECIALIST,02,Above 50K,Croton Filtration Plant
DEPARTMENT OF BUSINESS SERV.,Internal,"PROGRAM MANAGER, COMMUNITY CORNERSTONE",BUSINESS PROMOTION COORDINATOR,01,Below 50K,Business Programs
DEPARTMENT OF SANITATION,Internal,Senior Net Developer,CERT IT DEVELOPER (APP),04,Above 50K,Mgt Info Syst Office
DEPARTMENT OF BUSINESS SERV.,External,"PROGRAM MANAGER, COMMUNITY CORNERSTONE",BUSINESS PROMOTION COORDINATOR,01,Below 50K,Business Programs
DEPARTMENT OF BUSINESS SERV.,Internal,"SENIOR PROGRAM MANAGER, COMMUNITY CORNERSTONE",BUSINESS PROMOTION COORDINATOR,02,Above 50K,Business Programs
DEPT OF ENVIRONMENT PROTECTION,Internal,Instrumentation Specialist,INSTRUMENTATION SPECIALIST,02,Above 50K,Croton Filtration Plant
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Public Health Assistant, Bureau of School Health/SH Vision",PUBLIC HEALTH ASSISTANT (SCHOO,00,Below 50K,SH Vision
DEPT OF HEALTH/MENTAL HYGIENE,External,"Public Health Assistant, Bureau of School Health/SH Vision",PUBLIC HEALTH ASSISTANT (SCHOO,00,Below 50K,SH Vision
DEPT OF HEALTH/MENTAL HYGIENE,External,City Research Scientist,CITY RESEARCH SCIENTIST,01,Above 50K,Public Health Engineering
DEPT OF HEALTH/MENTAL HYGIENE,Internal,City Research Scientist,CITY RESEARCH SCIENTIST,01,Above 50K,Public Health Engineering
DEPARTMENT OF BUSINESS SERV.,External,"SENIOR PROGRAM MANAGER, COMMUNITY CORNERSTONE",BUSINESS PROMOTION COORDINATOR,02,Above 50K,Business Programs
DEPT OF ENVIRONMENT PROTECTION,External,INDUSTRIAL HYGIENIST II,INDUSTRIAL HYGIENIST,02,Above 50K,Environmental Health Safety
DEPT OF ENVIRONMENT PROTECTION,Internal,INDUSTRIAL HYGIENIST II,INDUSTRIAL HYGIENIST,02,Above 50K,Environmental Health Safety
DEPT OF ENVIRONMENT PROTECTION,External,Section Chief of Water Resource Modeling,ADMINISTRATIVE ENGINEER,M2,Above 50K,Blue Belt Unit
DEPT OF ENVIRONMENT PROTECTION,Internal,Section Chief of Water Resource Modeling,ADMINISTRATIVE ENGINEER,M2,Above 50K,Blue Belt Unit
POLICE DEPARTMENT,Internal,COMMUNITY ASSOCIATE,COMMUNITY ASSOCIATE,00,Below 50K,DC Strategic Comm/Civ
DEPARTMENT OF INVESTIGATION,Internal,Community Associate,COMMUNITY ASSOCIATE,00,Below 50K,Fingerprint Unit
DEPARTMENT OF SANITATION,Internal,IT Service Desk Technician,COMPUTER SPECIALIST (OPERATION,00,Above 50K,Mgt Info Syst Office
DEPARTMENT OF SANITATION,External,IT Service Desk Technician,COMPUTER SPECIALIST (OPERATION,00,Above 50K,Mgt Info Syst Office
OFF OF PAYROLL ADMINISTRATION,Internal,Deductions and Distribution Associate,PRINCIPAL ADMINISTRATIVE ASSOC,01,Below 50K,Ordered Deductions
DEPT OF HEALTH/MENTAL HYGIENE,External,Director of Budget anf Fiscal Management,ADMIN CONTRACT SPECIALIST (PYR,M2,Above 50K,EH Administration/Support
DEPARTMENT OF INVESTIGATION,External,Community Associate,COMMUNITY ASSOCIATE,00,Below 50K,Fingerprint Unit
DEPT OF ENVIRONMENT PROTECTION,Internal,ASSOCIATE PROJECT MANAGER I,ASSOCIATE PROJECT MANAGER,01,Above 50K,Blue Belt Unit
DEPT OF ENVIRONMENT PROTECTION,External,ASSOCIATE PROJECT MANAGER I,ASSOCIATE PROJECT MANAGER,01,Above 50K,Blue Belt Unit
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Deputy Commissioner of Environmental Health Services,DEPUTY COMMISSIONER (HEALTH),M6,Above 50K,EH Commissioner's Office
DEPT OF HEALTH/MENTAL HYGIENE,External,Deputy Commissioner of Environmental Health Services,DEPUTY COMMISSIONER (HEALTH),M6,Above 50K,EH Commissioner's Office
DEPT OF ENVIRONMENT PROTECTION,External,Accountable Manager,ASSOCIATE PROJECT MANAGER,03,Above 50K,Plant Construction
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Director of Budget anf Fiscal Management,ADMIN CONTRACT SPECIALIST (PYR,M2,Above 50K,EH Administration/Support
DEPT OF HEALTH/MENTAL HYGIENE,External,Criminalist II,CRIMINALIST,02,Above 50K,OCME-DNA
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Criminalist II,CRIMINALIST,02,Above 50K,OCME-DNA
DEPARTMENT OF SANITATION,Internal,Field/Desktop Technician,COMPUTER SPECIALIST (OPERATION,00,Above 50K,Mgt Info Syst Office
DEPARTMENT OF SANITATION,External,Field/Desktop Technician,COMPUTER SPECIALIST (OPERATION,00,Above 50K,Mgt Info Syst Office
DEPARTMENT OF SANITATION,Internal,Field/Desktop Technician,COMPUTER SPECIALIST (OPERATION,00,Above 50K,Mgt Info Syst Office
DEPT OF ENVIRONMENT PROTECTION,Internal,Accountable Manager,ASSOCIATE PROJECT MANAGER,03,Above 50K,Plant Construction
DEPT OF INFO TECH & TELECOMM,Internal,VMWare/Citrix Support Engineer â€“ Night Shift,COMPUTER SPECIALIST (OPERATION,00,Above 50K,IT Svcs Delivery
CIVILIAN COMPLAINT REVIEW BD,Internal,Investigator Level 1,INVESTIGATOR (CCRB),01,Below 50K,Civilian Complaint Review Bd
CIVILIAN COMPLAINT REVIEW BD,External,Investigator Level 1,INVESTIGATOR (CCRB),01,Below 50K,Civilian Complaint Review Bd
DEPARTMENT OF BUSINESS SERV.,External,"DIRECTOR, INTENSIVE GROWTH SERVICES",ADMINISTRATIVE BUSINESS PROMOT,M2,Above 50K,Business Programs
DEPARTMENT OF SANITATION,External,Field/Desktop Technician,COMPUTER SPECIALIST (OPERATION,00,Above 50K,Mgt Info Syst Office
DEPARTMENT OF SANITATION,External,Desktop Operatations Supervisor,COMPUTER SPECIALIST (OPERATION,00,Above 50K,Mgt Info Syst Office
DEPARTMENT OF SANITATION,Internal,Desktop Operatations Supervisor,COMPUTER SPECIALIST (OPERATION,00,Above 50K,Mgt Info Syst Office
DEPARTMENT OF SANITATION,External,Facilities Energy Manager,ADMINISTRATIVE SUPERVISOR OF B,M1,Above 50K,Bldg Mgnt Office
DEPARTMENT OF SANITATION,Internal,Facilities Energy Manager,ADMINISTRATIVE SUPERVISOR OF B,M1,Above 50K,Bldg Mgnt Office
DEPARTMENT OF BUSINESS SERV.,Internal,"DIRECTOR, INTENSIVE GROWTH SERVICES",ADMINISTRATIVE BUSINESS PROMOT,M2,Above 50K,Business Programs
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Contract Manager, BCD Administration",PROCUREMENT ANALYST,02,Below 50K,Communicable Diseases
DEPT OF HEALTH/MENTAL HYGIENE,External,"Contract Manager, BCD Administration",PROCUREMENT ANALYST,02,Below 50K,Communicable Diseases
DEPT OF HEALTH/MENTAL HYGIENE,External,"Certified ID Developer (Applications), Bureau of Environmental Disease and Injury Prevention",CERT IT DEVELOPER (APP),01,Above 50K,Healthy Homes Progam
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Certified ID Developer (Applications), Bureau of Environmental Disease and Injury Prevention",CERT IT DEVELOPER (APP),01,Above 50K,Healthy Homes Progam
DEPARTMENT OF SANITATION,Internal,Network Engineer,CERTIFIED IT ADMINISTRATOR (LA,04,Above 50K,Mgt Info Syst Office
DEPARTMENT OF SANITATION,External,Network Engineer,CERTIFIED IT ADMINISTRATOR (LA,04,Above 50K,Mgt Info Syst Office
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Criminalist II,CRIMINALIST,02,Above 50K,OCME-DNA
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Chief, Validation Core, Bureau of the Public Health Laboratory",CITY RESEARCH SCIENTIST,4B,Above 50K,Virology
DEPT OF HEALTH/MENTAL HYGIENE,External,"Chief, Validation Core, Bureau of the Public Health Laboratory",CITY RESEARCH SCIENTIST,4B,Above 50K,Virology
NYC HOUSING AUTHORITY,Internal,Director For Capital Projects Administration,ADMIN CONTRACT SPECIALIST (PYR,M4,Above 50K,Capital Projects Admin
NYC HOUSING AUTHORITY,External,Director For Capital Projects Administration,ADMIN CONTRACT SPECIALIST (PYR,M4,Above 50K,Capital Projects Admin
DEPARTMENT OF FINANCE,External,"Director, Application Support",COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,"Tax,Policy,Audit& Assessm Appl"
DEPARTMENT OF FINANCE,Internal,"Director, Application Support",COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,"Tax,Policy,Audit& Assessm Appl"
DEPT OF HEALTH/MENTAL HYGIENE,External,"Field Researcher,  Bureau of Alcohol and Drug Use Prevention, Care and Treatment",CITY RESEARCH SCIENTIST,02,Above 50K,ALC Drug Prev & Treat-Com Lia
NYC HOUSING AUTHORITY,Internal,Deputy Director For Engineering,ADMINISTRATIVE ENGINEER,M3,Above 50K,Office Of Design
NYC HOUSING AUTHORITY,External,Deputy Director For Engineering,ADMINISTRATIVE ENGINEER,M3,Above 50K,Office Of Design
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Certified IT Developer, Bureau of Application Development and Database Administration",CERT IT DEVELOPER (APP),02,Above 50K,App. Dev. & DB Administration
DEPT OF HEALTH/MENTAL HYGIENE,External,"Certified IT Developer, Bureau of Application Development and Database Administration",CERT IT DEVELOPER (APP),02,Above 50K,App. Dev. & DB Administration
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Field Researcher,  Bureau of Alcohol and Drug Use Prevention, Care and Treatment",CITY RESEARCH SCIENTIST,02,Above 50K,ALC Drug Prev & Treat-Com Lia
DEPT OF ENVIRONMENT PROTECTION,External,Mechanical Engineer,MECHANICAL ENGINEER,02,Above 50K,Mechanical Engineering - IFA
DEPT OF ENVIRONMENT PROTECTION,Internal,Mechanical Engineer,MECHANICAL ENGINEER,02,Above 50K,Mechanical Engineering - IFA
ADMIN FOR CHILDREN'S SVCS,External,Deputy Director for Collaborative Quality Improvement,ADMINISTRATIVE DIRECTOR OF SOC,M2,Above 50K,Agency Program Assistance(Qa)
ADMIN FOR CHILDREN'S SVCS,Internal,Deputy Director for Collaborative Quality Improvement,ADMINISTRATIVE DIRECTOR OF SOC,M2,Above 50K,Agency Program Assistance(Qa)
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Laboratory Supervisor, Bureau of the Public Health Laboratory/Environmental Sciences",CITY RESEARCH SCIENTIST,02,Above 50K,Environmental SciencesÂ Â Â Â 
DEPT OF HEALTH/MENTAL HYGIENE,External,"Laboratory Supervisor, Bureau of the Public Health Laboratory/Environmental Sciences",CITY RESEARCH SCIENTIST,02,Above 50K,Environmental SciencesÂ Â Â Â 
NYC HOUSING AUTHORITY,Internal,Project Manager,ADMINISTRATIVE BUSINESS PROMOT,M2,Above 50K,Enterprise Program Mgmt office
DEPT OF ENVIRONMENT PROTECTION,External,"Chief, Modeling and Water Quality Planning",ADMINISTRATIVE PROJECT MANAGER,M3,Above 50K,Planning & Stormwater Engring
NYC HOUSING AUTHORITY,External,Project Manager,ADMINISTRATIVE BUSINESS PROMOT,M2,Above 50K,Enterprise Program Mgmt office
DEPARTMENT OF TRANSPORTATION,External,Bridge Operator,BRIDGE OPERATOR,01,Below 50K,Bridge Operations Headquarte
DEPARTMENT OF SANITATION,Internal,QA Lead JavaScript Analyst,CERT IT DEVELOPER (APP),04,Above 50K,Mgt Info Syst Office
DEPARTMENT OF SANITATION,External,QA Lead JavaScript Analyst,CERT IT DEVELOPER (APP),04,Above 50K,Mgt Info Syst Office
OFFICE OF EMERGENCY MANAGEMENT,Internal,DEPUTY DIRECTOR OF FIELD RESPONSE,EMERGENCY PREPAREDNESS MANAGER,00,Above 50K,Operations
OFFICE OF EMERGENCY MANAGEMENT,External,DEPUTY DIRECTOR OF FIELD RESPONSE,EMERGENCY PREPAREDNESS MANAGER,00,Above 50K,Operations
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"IT Project Manager, Division of Prevention and Primary Care",COMPUTER SPECIALIST (SOFTWARE),02,Above 50K,Prevention and Primary Care
DEPARTMENT OF TRANSPORTATION,Internal,Bridge Operator,BRIDGE OPERATOR,01,Below 50K,Bridge Operations Headquarte
HRA/DEPT OF SOCIAL SERVICES,External,ASSOCIATE DIRECTOR OF DATA ANALYTICS AND STRATEGY,COMPUTER SYSTEMS MANAGER,M1,Above 50K,HHS Connect-NM
HRA/DEPT OF SOCIAL SERVICES,Internal,ASSOCIATE DIRECTOR OF DATA ANALYTICS AND STRATEGY,COMPUTER SYSTEMS MANAGER,M1,Above 50K,HHS Connect-NM
DEPT OF HEALTH/MENTAL HYGIENE,External,"IT Project Manager, Division of Prevention and Primary Care",COMPUTER SPECIALIST (SOFTWARE),02,Above 50K,Prevention and Primary Care
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Data Analyst, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Prevention",CITY RESEARCH SCIENTIST,01,Above 50K,HIV/AIDS Prevention
DEPT OF HEALTH/MENTAL HYGIENE,External,"Data Analyst, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Prevention",CITY RESEARCH SCIENTIST,01,Above 50K,HIV/AIDS Prevention
POLICE DEPARTMENT,External,COMMUNITY ASSOCIATE,COMMUNITY ASSOCIATE,00,Below 50K,DC Strategic Comm/Civ
DEPARTMENT OF FINANCE,External,Modeler/Policy Analyst,CITY RESEARCH SCIENTIST,02,Above 50K,Tax Policy Research&Analysis
POLICE DEPARTMENT,Internal,COMMUNITY COORDINATOR,COMMUNITY COORDINATOR,00,Below 50K,Office Mgmt Analysis & Plan/CV
POLICE DEPARTMENT,External,COMMUNITY COORDINATOR,COMMUNITY COORDINATOR,00,Below 50K,Office Mgmt Analysis & Plan/CV
HRA/DEPT OF SOCIAL SERVICES,External,DATA ARCHITECT,COMPUTER SYSTEMS MANAGER,M1,Above 50K,HHS Connect-NM
HRA/DEPT OF SOCIAL SERVICES,Internal,DATA ARCHITECT,COMPUTER SYSTEMS MANAGER,M1,Above 50K,HHS Connect-NM
DEPARTMENT OF FINANCE,Internal,Modeler/Policy Analyst,CITY RESEARCH SCIENTIST,02,Above 50K,Tax Policy Research&Analysis
DEPT OF ENVIRONMENT PROTECTION,Internal,Environmental Health & Safety Incident Investigator,ASSOCIATE PUBLIC HEALTH SANITA,02,Above 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,External,Environmental Health & Safety Incident Investigator,ASSOCIATE PUBLIC HEALTH SANITA,02,Above 50K,Dept of Environment Protection
DEPARTMENT OF TRANSPORTATION,Internal,Associate Investigator 2,ASSOCIATE INVESTIGATOR (NOT PR,02,Above 50K,Personnel
DEPARTMENT OF TRANSPORTATION,Internal,Associate Investigator 2,ASSOCIATE INVESTIGATOR (NOT PR,02,Above 50K,Personnel
ADMIN FOR CHILDREN'S SVCS,Internal,Systems Developer III,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,"Mis Admin,Network Sysms Dvlpmt"
POLICE DEPARTMENT,Internal,"COMPUTER ASSOCIATE, (OP) LEVEL I",COMPUTER ASSOC (OPERATIONS),01,Below 50K,Life-Safety Systems Div/Civ
POLICE DEPARTMENT,External,"COMPUTER ASSOCIATE, (OP) LEVEL I",COMPUTER ASSOC (OPERATIONS),01,Below 50K,Life-Safety Systems Div/Civ
DEPT. OF HOMELESS SERVICES,Internal,Child Wait Space Counselor,COMMUNITY COORDINATOR,00,Below 50K,Path/Intake
DEPT. OF HOMELESS SERVICES,External,Child Wait Space Counselor,COMMUNITY COORDINATOR,00,Below 50K,Path/Intake
DEPT OF INFO TECH & TELECOMM,Internal,Executive Director ECTP/PS IT,COMPUTER SYSTEMS MANAGER,M5,Above 50K,ECTP
DEPARTMENT OF CORRECTION,Internal,Electrician,ELECTRICIAN,00,Below 50K,F.M.R.D. Civilian
DEPARTMENT OF CORRECTION,External,Electrician,ELECTRICIAN,00,Below 50K,F.M.R.D. Civilian
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Director of Quality Management .. Bureau of the Public Health Laboratory,ADMINISTRATIVE QUALITY ASSURAN,M1,Above 50K,Virology
DEPT OF HEALTH/MENTAL HYGIENE,External,Director of Quality Management .. Bureau of the Public Health Laboratory,ADMINISTRATIVE QUALITY ASSURAN,M1,Above 50K,Virology
DEPT OF INFO TECH & TELECOMM,Internal,Edge Engineer,IT AUTOMATION AND MONITORING E,00,Above 50K,IT Svcs/IT Service Mgmt
DEPT OF INFO TECH & TELECOMM,External,Edge Engineer,IT AUTOMATION AND MONITORING E,00,Above 50K,IT Svcs/IT Service Mgmt
DEPT OF DESIGN & CONSTRUCTION,External,"Supervisor, Professional Service Procurement",PRINCIPAL ADMINISTRATIVE ASSOC,03,Above 50K,Admin/Acco-Prof Contracts
DEPT OF DESIGN & CONSTRUCTION,Internal,"Supervisor, Professional Service Procurement",PRINCIPAL ADMINISTRATIVE ASSOC,03,Above 50K,Admin/Acco-Prof Contracts
DEPT OF INFO TECH & TELECOMM,Internal,Application Support Specialist,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,Enterprise APP Services
OFFICE OF THE ACTUARY,Internal,Director of Communications,ADMINISTRATIVE PUBLIC INFORMAT,M1,Above 50K,Actuary
OFFICE OF THE ACTUARY,External,Director of Communications,ADMINISTRATIVE PUBLIC INFORMAT,M1,Above 50K,Actuary
DEPT OF DESIGN & CONSTRUCTION,Internal,Deputy Director,ADMINISTRATIVE PROJECT MANAGER,M2,Above 50K,Prog Mgmt/Sss-Qa and Cs
DEPT OF DESIGN & CONSTRUCTION,External,Deputy Director,ADMINISTRATIVE PROJECT MANAGER,M2,Above 50K,Prog Mgmt/Sss-Qa and Cs
DEPT OF INFO TECH & TELECOMM,Internal,VMWare/Citrix Support Engineer - Night Shift Supervisor,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,IT Svcs Delivery
DEPARTMENT OF INVESTIGATION,Internal,Investigator,CONFIDENTIAL INVESTIGATOR,02,Below 50K,Default
DEPARTMENT OF INVESTIGATION,External,Investigator,CONFIDENTIAL INVESTIGATOR,02,Below 50K,Default
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Operations Coordinator Nonfatal Overdose Response Program,CITY RESEARCH SCIENTIST,02,Above 50K,"Alcohol, Drug Prev & Treatment"
DEPT OF ENVIRONMENT PROTECTION,Internal,Supervisor (Watershed Maintenance) I,SUPERVISOR (WATERSHED MAINTENA,01,Above 50K,Stn (6) Ctrl Opr Ctr - Plt O
DEPT OF ENVIRONMENT PROTECTION,External,Supervisor (Watershed Maintenance) I,SUPERVISOR (WATERSHED MAINTENA,01,Above 50K,Stn (6) Ctrl Opr Ctr - Plt O
POLICE DEPARTMENT,External,AGENCY ATTORNEY INTERNE,AGENCY ATTORNEY INTERNE,00,Above 50K,Legal Bureau/Civ and Cadet
POLICE DEPARTMENT,Internal,AGENCY ATTORNEY INTERNE,AGENCY ATTORNEY INTERNE,00,Above 50K,Legal Bureau/Civ and Cadet
HRA/DEPT OF SOCIAL SERVICES,Internal,CLINICAL CASE DEVELOPER,SOCIAL WORKER,00,Above 50K,Customized Assist Svc-NM
